,text,intent
832,screen shot of <name>,take screenshot
833,take screenshot of google,take screenshot
834,play on youtube,play on youtube
835,i am happy,tell me about
836,give me the time,asking time
837,play shape of you on youtube today,play on youtube
838,is today march sixth,asking time
839,Hi there,"greet and hello hi kind of things, general check in"
840,send email about,send email
841,open website linkedin.com,open website
842,Hya there,"greet and hello hi kind of things, general check in"
843,hey,"greet and hello hi kind of things, general check in"
844,send email to dipesh,send email
845,Do you know what time it is?,asking time
846,did i get any replies from jan,send email
847,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
848,is it going to rain on monday,asking weather
849,what time is it day before tomorrow,asking time
850,I am so bored,i am bored
851,tell me a dad joke,tell me joke
852,what is the weather tomorrow,asking weather
853,whether it would be sunny in califonia,asking weather
854,what day of the week does the fifteenth of march fall on,asking time
855,i was not clear about what you just said now.,tell me about
856,who sing we are the world,play on youtube
857,tell me the funniest joke that was ever told,tell me joke
858,places near me to eat today with my friends,places near me
859,mute sound,volume control
860,I have nothing to do,i am bored
861,send whatsapp message,send whatsapp message
862,download youtube video of minecraft,download youtube video
863,Where should I go nearby?,places near me
864,what's going on with economy,tell me news
865,volume control increase by 10,volume control
866,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
867,play games of xxd,play games
868,Give me a joke,tell me joke
869,open website stackoverflow.com,open website
870,"Thank you, bye",goodbye
871,what is the time,asking time
872,"Thank you, bye",goodbye
873,compile information on the data breach,send email
874,play bad guy on youtube,play on youtube
875,respond to my bosses email with the word that i will be in at four in the evening,send email
876,what is the weather like now,asking weather
877,send whatsapp message,send whatsapp message
878,Please be quiet,goodbye
879,Quiet,goodbye
880,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
881,Shut up,goodbye
882,capture selfie,click photo
883,play music that are classical only,play on youtube
884,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
885,Quiet,goodbye
886,whats up,"greet and hello hi kind of things, general check in"
887,play games of xxd,play games
888,Hola how are you?,"greet and hello hi kind of things, general check in"
889,My user is Adam,"greet and hello hi kind of things, general check in"
890,time,asking time
891,send whatsapp message,send whatsapp message
892,what's good news,tell me news
893,download youtube video hd of,download youtube video
894,Can you control the volume?,volume control
895,open website stackoverflow.com,open website
896,Hya there,"greet and hello hi kind of things, general check in"
897,tomorrow,asking date
898,Make me laugh,tell me joke
899,find a grocery store in town that carries creamed pickled herring,places near me
900,tell me a joke about virginia,tell me joke
901,will you once again rephrase me about what you just said now.,tell me about
902,I have good news,tell me news
903,volume control,volume control
904,has it been a busy day,tell me about
905,what is the best italian restaurant around here,places near me
906,Tell me about,tell me about
907,Do you know what time it is?,asking time
908,How hot will it be,asking weather
909,play bad guy on youtube,play on youtube
910,take screenshot,take screenshot
911,is today a sunscreen day,asking weather
912,daily cases of india,covid cases
913,list all the shops that are located in milan,places near me
914,It is Bella,"greet and hello hi kind of things, general check in"
915,Hya there,"greet and hello hi kind of things, general check in"
916,see you later,goodbye
917,what's the name of the piece you are playing,play on youtube
918,show me the email of jack,send email
919,daily cases of india,covid cases
920,download youtube video of <name>,download youtube video
921,Shhh,goodbye
922,what is the current time right now,asking time
923,What are your functions?,what can you do
924,covid cases of india past 24 hours,covid cases
925,what is the weather for the school week,asking weather
926,send email to <name> about <name>,send email
927,is there any salon in babaji nagar,places near me
928,what is the weather like day before tomorrow,asking weather
929,What can you help me with?,what can you do
930,Where should I go nearby?,places near me
931,play despacito on youtube today,play on youtube
932,tell me the artist name,play on youtube
933,"Thank you, bye",goodbye
934,on what date is easter this year,asking time
935,tell me about yours,tell me about
936,please play only sad song in music player,play on youtube
937,have there been updates on abortion law,tell me news
938,open website stackoverflow.com,open website
939,tell me a dad joke,tell me joke
940,bye,goodbye
941,tell me about history of british india,tell me about
942,download youtube video of kishore kumar,download youtube video
943,hey,"greet and hello hi kind of things, general check in"
944,download youtube video of minecraft,download youtube video
945,mute sound on speakers please,volume control
946,places near me to eat today with my friends,places near me
947,Good thanks! My user is Adam,"greet and hello hi kind of things, general check in"
948,find me news about trumps speech,tell me news
949,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
950,Hya there,"greet and hello hi kind of things, general check in"
